股票	日期	成交量	前5日均量*2	筹码集中度	解套率
002185.SZ 华天科技	2026-01-16	3286180.000000	2482532.000000	8.547000	95.456400
003043.SZ 华亚智能	2026-01-14	58861.000000	50699.200000	8.181800	91.562700
003043.SZ 华亚智能	2026-03-04	44019.000000	43150.000000	8.469500	98.644000
003043.SZ 华亚智能	2026-04-14	54931.000000	43334.800000	9.649100	99.209100
003043.SZ 华亚智能	2026-04-27	48811.000000	48205.200000	9.640300	94.985200
300053.SZ 航宇微	2025-12-01	1977605.000000	987936.800000	13.315900	95.736500
300077.SZ 国民技术	2026-01-27	1242973.000000	567617.200000	10.211300	92.540400
300077.SZ 国民技术	2026-04-23	1026943.000000	679288.000000	8.727300	91.726700
300661.SZ 圣邦股份	2026-04-23	619942.000000	504060.800000	12.820500	92.904500
300666.SZ 江丰电子	2026-01-05	176337.000000	175891.600000	9.293700	93.513700
300666.SZ 江丰电子	2026-01-06	309278.000000	195116.000000	11.191300	96.603700
300672.SZ 国科微	2025-11-13	224123.000000	150987.200000	8.620700	98.774000
300672.SZ 国科微	2026-01-06	200105.000000	198680.800000	12.500000	99.276800
300706.SZ 阿石创	2026-01-07	147714.000000	116651.600000	7.653100	90.504800
300706.SZ 阿石创	2026-01-29	241224.000000	233586.000000	8.374400	93.227400
300831.SZ 派瑞股份	2026-03-02	343433.000000	335980.000000	12.135900	94.415500
300831.SZ 派瑞股份	2026-04-27	388595.000000	262280.800000	9.302300	91.155800
301348.SZ 蓝箭电子	2026-03-18	363968.000000	322914.000000	6.008600	95.765000
301369.SZ 联动科技	2025-11-11	42411.000000	19293.600000	11.403500	97.074200
301369.SZ 联动科技	2025-11-12	34264.000000	33546.400000	13.304700	98.916000
301678.SZ 新恒汇	2026-01-16	144004.000000	83778.400000	9.230800	96.369500
301678.SZ 新恒汇	2026-01-19	162972.000000	126705.200000	14.216900	90.792400
600360.SH *ST华微	2026-04-17	348948.000000	212182.400000	9.401700	99.742400
600360.SH *ST华微	2026-04-20	424191.000000	322203.200000	10.623900	94.573100
600460.SH 士兰微	2026-01-28	1640403.000000	1547917.200000	8.860800	99.521200
603375.SH 盛景微	2026-04-17	87616.000000	35136.800000	8.943100	97.797400
603375.SH 盛景微	2026-04-30	61482.000000	44771.600000	9.283800	99.996700
